RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
102001,0,United States,Country,,71108,71109,71116,71164,71215,71305,71388,71514,71615,71742,71866,72010,72081,72176,72300,72469,72658,72805,72985,73120,73306,73462,73671,73924,74344,74752,75144,75428,75733,76035,76352,76737,77169,77651,78070,78422,78698,79056,79430,79860,80273,80772,81275,81696,82069,82461,82959,83465,84021,84569,85174,85790,86403,87017,87642,88336,89059,89763,90471,91244,92019,92784,93548,94347,95172,95956,96745,97527,98326,99148,99939,100704,101444,102192,102929,103693,104462,105294,106162,107069,107978,108902,109868,110870,111862,112855,113863,114849,115813,116715,117629,118584,119615,120695,121816,122909,124102,125341,126675,127999,129461,131032,132657,134253,135829,137442,139032,140731,142418,144162,145858,147627,149391,151218,153118,155053,157003,158808,160490,162001,163415,164679,165911,167099,168183,169056,169664,170076,170287,170378,170469,170480,170466,170405,170244,169984,169488,168854,168109,167376,166537,165643,164570,163475,162244,160784,159176,157343,155615,153910,152234,150431,148630,146738,144768,142674,140621,138812,137111,135528,134008,132623,131419,130372,129489,128843,128425,128132,127801,127393,126980,126686,126315,125746,124922,124010,123018,121982,120894,119924,119009,118167,117290,116383,115452,114698,114107,113653,113275,112933,112677,112380,112151,111966,111961,112096,112385,112751,113171,113636,114175,114817,115515,116325,117239,118227,119284,120382,121548,122705,123922,125149,126323,127363,128336,129219,130093,130902,131603,132151,132643,133153,133679,134122,134595,135150,135766,136428,137016,137658,138351,139105,139856,140545,141196,141904,142630,143356,144055,144780,145583,146360,147067,147779,148515,149336,150146,150960,151767,152616,153502,154379,155190,155976,156808,157727,158667,159597,160545,161498,162485,163476,164492,165543,166590,167719,168842,169880,170875,171799,172687,173469,174167,174797,175406,175992,176593,177091,177591,178150,178776,179415,179913,180297,180615,180926,181270,181758,182531,183489,184523,185488,186063,186463,186981,188038,189400,190936,192622,194399,196161,198043,200113,202495,205464,208902
394913,1,"New York, NY",Msa,NY,131055,130872,130720,130493,130275,130084,129886,129785,129788,129872,129969,130126,130452,130896,131356,131676,132097,132572,133119,133663,134133,134580,135071,135611,136078,136439,136810,137212,137641,138143,138711,139327,140023,140853,141728,142565,143252,144030,144902,146034,147218,148416,149718,150880,152063,153049,154178,155352,156756,158350,160045,161739,163409,165100,166894,168715,170544,172371,174226,176218,178146,180167,182031,183942,185779,187668,189436,191264,193174,195423,197575,199624,201658,203485,205376,207324,209409,211470,213441,215869,218544,221236,223815,226445,229179,232078,235119,237910,240680,243532,246631,249291,251559,253668,255950,258310,260728,263285,265982,268766,271766,275015,278695,282690,286819,290888,294994,299116,303370,307397,311508,315855,320120,324260,328179,332440,336805,341404,345602,349552,353218,356609,359075,360993,362748,364582,365690,365560,364831,363472,362525,361735,360909,360218,360033,360091,359920,358940,357857,356884,355897,355022,353945,353152,352850,352235,350951,349492,347453,345600,343312,341663,339704,337209,334217,330731,325280,320030,315578,311704,308838,305378,303205,300308,298540,297870,297963,297641,298786,299894,300321,300532,300574,301906,302135,302059,301425,300351,298596,296985,295333,294331,294266,293515,292346,290423,289217,288724,288172,287188,286464,286091,285474,284324,282197,281101,280258,280194,280082,280187,280496,281280,282149,283069,284210,285302,287141,288536,290196,291587,293289,294764,295864,297019,298547,300035,301561,303498,305834,308110,309793,310816,311375,312424,313956,315420,316282,317495,319757,321973,323503,324311,325443,326971,328600,330073,331477,332997,334915,336443,335771,334757,333692,334568,335356,336567,337715,338716,339283,339918,340389,341245,342849,344674,346631,347948,349838,351782,354123,356229,358625,360691,362851,364785,367081,369440,371688,373479,374719,375400,375456,375559,375905,376485,377070,377184,377378,377398,378104,378873,379798,380307,380662,380728,380201,379132,377881,377446,377869,378889,380008,381269,381833,381776,381688,382412,384178,386423,388981,391425,393355,395201,396998,399135,402218,406501
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,108502,108576,108536,108484,108379,108317,108270,108037,107715,107374,107204,107048,106673,106130,105722,105559,105495,105388,105476,105873,106438,107011,107456,108120,109135,110368,111573,112609,113731,114853,115713,116803,118028,119382,120594,121477,122558,123770,124999,126136,127184,128522,129910,130736,131413,132314,133616,135114,136347,137535,138829,140290,141859,143354,144908,146736,148561,150165,151658,153242,154863,156544,158211,160122,161935,163753,165366,167022,168699,170701,172632,174619,176626,178844,181156,183587,185965,188708,191858,195234,198620,202053,205847,209676,213104,216234,219392,222492,225749,228622,232250,236394,241025,245207,250013,254907,260895,266890,273340,280283,288382,296704,304003,309978,315968,321919,326959,331878,336383,341802,347086,352193,356251,360273,365410,371086,377111,382961,387700,392167,395793,399055,402077,404536,407430,409355,410104,410859,409814,409548,408947,409164,408628,407688,406452,405853,404340,402741,399634,395466,390412,385181,381425,377163,372616,366359,359030,350704,342071,335836,330394,325216,320284,314523,308108,299559,294300,290839,288321,284292,280689,276222,272565,270443,270042,270225,270421,271989,270660,268153,266139,266315,267424,265923,263858,260998,258073,255165,251400,248719,246859,245891,244028,241656,238052,236725,235591,234367,232373,230145,229659,228532,227664,226453,225760,225550,226328,227355,228986,230550,232669,235909,238925,242896,246666,252158,258202,265032,271136,277205,282711,289463,295552,300324,304099,306831,309822,310892,311794,311948,312696,313184,314428,314106,314229,314465,316508,318485,321112,323830,326728,328514,330580,332547,334246,336232,338294,340928,342755,345804,347577,350051,351432,354303,356524,358767,360968,363856,367087,370014,372191,373492,376005,377984,380448,381874,384490,387216,390070,392502,394932,397475,401315,405370,408718,412069,415622,419401,422195,424675,426014,426626,426438,426881,427211,426874,426526,425264,424483,424413,425780,427330,427064,426556,426657,427712,428748,430576,433476,437560,441917,445197,444422,442638,443193,446864,450383,453223,456380,459850,463251,466903,470806,475988,484706,495099
394463,3,"Chicago, IL",Msa,IL,89790,89742,89632,89703,89634,89815,89840,90650,91547,92918,92993,92822,92303,92605,93094,93340,93833,94001,94230,93057,91657,89468,89581,90264,91756,92096,92468,92778,93035,93194,93701,94839,96401,98398,99549,100401,100637,101288,101847,102580,103278,104305,105330,106313,107061,107841,108427,109022,109805,110871,112024,113152,114314,115421,116422,117437,118477,119582,120827,122050,123205,124146,125208,126261,127496,128690,129835,131085,132384,133764,134922,135978,136980,138105,139294,140281,141245,142101,143214,144272,145335,146258,147047,147959,148817,149817,150650,151595,152203,152789,153270,153888,154555,155224,155984,156713,157613,158373,159116,159938,160896,162022,162993,163953,164706,165562,166507,167487,168325,169160,170033,171002,172070,173199,174285,175291,176540,177736,178808,179719,180516,181431,182093,182898,183396,183825,184046,184367,184490,184544,184451,184673,184994,185666,185363,185158,184056,183853,183004,182755,181979,181833,181616,181367,181254,179422,179675,177563,178032,175846,175884,174132,173972,172365,171480,169113,166771,164960,162888,162166,160507,159868,159253,158902,157608,156540,155156,155229,154590,154841,153335,153047,151208,150688,147603,145822,143437,142135,139879,137761,135793,134061,132681,130582,129146,126985,126135,124655,123665,121505,120318,118662,117514,115459,114641,113819,113481,112732,112019,111379,110988,111218,111733,112220,113096,114229,115061,116064,116999,118577,120121,122001,123514,125463,126507,127811,128448,129493,130096,130392,130945,131733,132459,132799,133359,133678,134323,134884,135424,135654,136129,137122,137794,137995,138099,138426,138786,139097,139411,139934,140558,141718,142633,143325,143920,144634,145699,146544,147262,147938,148873,149658,150527,151112,152233,153160,153954,154536,155031,155833,156683,157432,157969,158759,159969,160969,161235,161320,161730,162354,162724,162885,163067,163334,163745,164047,163903,163728,163927,164531,165166,165545,165714,165720,165405,165104,164824,164693,165185,165770,166576,166937,167219,167409,167930,168579,169648,170719,171776,172780,173491,174274,174921,175852,176858,178112
394514,4,"Dallas-Fort Worth, TX",Msa,TX,72136,71768,71747,72160,72569,72889,72257,72520,72383,73117,72794,72735,72573,73200,73470,73219,72705,72497,73236,73112,73830,73277,73614,74119,74481,74728,74906,74810,75384,75535,76499,76743,76497,76484,77447,77708,78074,77697,78238,78678,78529,78752,78326,78280,78280,78157,78071,77301,77469,77998,78212,78033,77859,77842,78332,78885,78883,78725,77810,78679,79221,78993,78564,78673,79613,79393,79218,78733,79076,79102,79599,79509,78736,78539,77846,77780,77327,78018,78242,78495,78503,78979,79296,79522,79193,79425,79765,79823,79202,78733,78766,78845,78889,79345,80229,80184,81056,81468,82723,83505,83971,84370,83753,84165,83985,83757,82871,82840,83278,83008,82929,82088,82620,82256,83035,82975,83455,83340,83493,83447,83300,83916,83911,83969,83359,83312,82979,82762,82805,83303,83194,83279,82935,82746,82130,82584,83356,83970,84219,84140,84054,83690,84612,84792,85506,84858,85204,84761,84262,83774,83555,83598,83154,82545,80907,80046,78853,78994,78680,78771,78632,78246,77929,77349,77257,77105,77454,77489,77362,76904,76328,75939,75574,75457,74921,74408,73631,73218,72721,72342,72078,71601,71183,70491,69822,69148,68587,68636,68825,69066,69011,68822,68700,68801,68947,69021,69169,69484,70196,70419,70486,70279,70444,70843,71251,71603,72000,72666,73458,74121,74972,75771,76704,77437,78030,78429,78879,79536,80222,80676,80786,81122,80712,80979,81041,81789,82354,83011,83762,84338,84985,85788,86861,87865,89151,90007,90952,91694,92559,93570,94212,95078,95924,97088,98257,99299,100578,101713,103270,104684,106334,107768,108881,109821,110718,112045,113445,114827,116057,116759,117495,118549,120115,121740,123497,125323,127093,128294,129414,130462,131238,132457,132321,132865,133079,134618,136038,137313,138134,138404,138436,138761,139730,140820,142926,142755,142731,140927,141191,141086,142019,142470,143246,143557,143907,144012,144178,145695,147237,149609,150595,152078,153148,155201,157356,160003
394974,5,"Philadelphia, PA",Msa,PA,86597,86403,86303,86129,86109,86121,86134,86088,86030,85981,86023,86132,86290,86503,86658,86752,86769,86846,86946,87084,87232,87417,87519,87523,87469,87490,87608,87792,87826,87750,87736,87879,88145,88356,88534,88712,88931,89184,89493,89791,90149,90555,90894,91209,91416,91752,92199,92846,93475,94119,94584,95065,95554,96076,96614,97010,97502,98000,98491,98891,99367,99949,100643,101341,101962,102565,103182,103934,104676,105372,106126,106855,107655,108411,109354,110337,111362,112406,113504,114701,116024,117423,118840,120355,121840,123376,124791,126203,127711,129242,130895,132561,134336,136176,137982,139599,141102,142746,144596,146601,148544,150510,152437,154421,156160,157735,159359,161280,163587,165568,167289,168868,170793,172950,175137,177228,179367,181534,183557,185455,186952,188343,189638,190871,191849,192715,193443,194267,194873,195347,195569,195686,195859,195980,196317,196524,197035,197192,197405,197022,196653,196344,196282,196274,196097,196011,195278,194632,193565,192692,191720,190855,190299,189381,188411,186979,185500,184220,183630,183172,182683,182004,181271,180827,180303,180354,180288,180412,180389,180290,179837,179375,178766,178312,177684,176672,175227,173491,171982,170692,169841,169039,168120,166713,165215,163850,162666,161908,161358,161009,160356,159730,158826,157988,157525,157542,157644,157353,157080,156978,157139,157042,157083,157073,157329,157213,157251,157452,158259,159266,160161,160694,160934,161264,161667,161998,162187,162705,162789,162400,161691,161339,161415,161320,161338,161459,161796,162291,162711,162966,163486,164230,164768,164663,164276,164233,164368,164541,164536,164231,164055,164076,163977,163890,163920,164754,165507,166195,166651,166990,167241,167693,168316,168852,169428,170060,170781,171162,171629,172080,172448,172879,173401,174240,174862,175614,176403,177150,177678,178049,178383,178647,179094,179655,180451,180977,181432,181885,182464,182972,183498,183854,184047,184030,183997,183969,184102,184430,185116,185882,186423,187398,188271,189500,190770,192495,194438,196474,198421,200470,202531,204738,207307,209819,212718,215736
394692,6,"Houston, TX",Msa,TX,75700,75873,75886,76030,76045,76000,75907,76187,76484,76962,77314,77570,77483,77052,76779,76327,76110,76082,76343,75841,75270,74588,74407,74439,74984,75771,76748,77903,78972,79837,80474,81593,82727,83608,83927,84207,84432,85117,85236,85670,85867,86119,85704,85300,85109,85262,85373,85424,85403,85078,85433,84847,84583,83731,84421,84412,84629,84185,85142,85326,85518,85185,84758,84646,84045,84353,83888,83849,83669,84376,83507,83241,82299,82781,82346,83297,84109,84773,85474,85647,85913,85281,86050,85994,86711,86219,86296,85125,83895,83687,82951,83322,82749,82332,81399,81508,81590,81529,82412,83022,84504,84279,84746,84501,84574,85687,85795,86052,85814,86787,87041,87303,86763,86498,86320,86644,86921,86760,86827,87461,88150,88392,87764,87434,87684,88307,88905,88657,88814,88280,88675,88238,88505,87608,87434,87343,87258,86581,85630,85096,85236,85306,85524,84750,83706,82851,82492,82062,81427,81176,80869,80665,79992,79663,78686,78125,77525,77676,77527,77391,77146,77127,77277,77220,76856,76314,75989,75985,76025,75926,75740,75476,75156,74508,73590,72751,72159,71854,71676,71491,71141,70531,69775,69337,69215,69350,69545,69742,69895,70034,70021,70118,70104,70349,70657,70754,70643,70548,70730,70987,71279,71592,71891,72114,72507,72965,73771,74756,75854,76674,77456,78214,79068,79749,80505,81144,81935,82762,83238,83729,84125,84988,85795,86781,87650,88449,89310,90390,91435,92165,93041,93784,94627,95126,95499,96028,96724,97731,98148,98315,98652,99341,100103,100652,101299,102091,103090,103514,103693,103847,104701,105681,106208,106655,106988,107330,107462,107684,107903,108245,108404,108622,108888,109364,109850,110130,110501,111285,112145,112729,113214,113690,114328,114508,114691,115039,115905,116739,117320,117635,117918,118264,118609,119230,119047,119156,118663,118874,118989,119517,120516,121246,121870,121836,121899,121977,123062,124241,126003,127283,128582,129836,131049,132781,134886,137861
395209,7,"Washington, DC",Msa,DC,104060,103915,103781,103521,103302,103062,102863,102591,102490,102291,102240,102166,102080,101888,101675,101560,101491,101375,101266,101087,100932,100816,100775,100856,101029,101264,101353,101403,101269,101314,101195,101673,101696,102068,101841,101602,101244,101339,101741,102072,102645,103258,104220,104487,105092,105404,106420,107289,108397,109047,109836,110601,111326,111927,112447,113501,114632,115844,116727,118017,119325,120822,122229,123851,125589,127324,129139,130842,132618,134444,136504,138477,140482,142390,144414,146469,148644,151005,153407,155974,158417,160895,163468,166026,168450,171040,173383,175827,178047,180460,182673,184866,187136,189825,192576,195540,198665,201932,205300,208723,212540,216695,221499,226382,231636,236601,241336,245717,249788,253860,258422,263624,269042,273981,278460,282597,286599,290097,293378,295960,298303,300028,301361,301312,300468,299362,298114,296691,294242,291841,289598,288333,287415,287112,286486,286483,286257,285889,285196,284252,283504,282378,281020,279267,278278,276623,275033,272041,269026,265697,263060,261183,260028,259190,258235,256545,253241,250091,247476,246437,245718,245505,245069,244348,243525,242944,242738,242996,243909,244881,245532,246150,246900,247400,247391,247368,246883,245971,244742,244434,244657,245076,244504,243481,242301,241487,240679,239770,239305,239203,239469,238999,238489,238027,238850,239633,240386,241130,242586,244051,245304,246733,248207,249890,251228,252514,253717,255285,257465,259538,260933,262488,264003,265552,266716,267795,269127,270277,271120,271487,271179,270720,270754,270774,270845,270385,270219,269965,269418,269344,269420,269752,269922,270233,270494,270601,270700,271099,271199,271302,271538,271123,270912,270762,271406,271748,271799,271919,272101,272424,273261,274382,275626,276865,277302,277552,277089,277191,277616,278240,279017,279598,280082,280159,280037,280467,281276,282082,283203,284218,285359,285907,286161,286455,286620,287296,288165,289087,290433,291670,292846,293307,293541,294502,295694,297023,297910,299153,300652,302588,303696,304841,305304,306868,308598,310324,311725,313052,314817,316137,317216,317818,318807,319832,321376,322406
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,57599,57663,57739,57873,57990,58139,58287,58415,58471,58506,58558,58609,58536,58516,58511,58660,58786,58903,59004,59116,59223,59328,59409,59553,59946,60263,60503,60487,60530,60426,60360,60336,60624,60949,61253,61429,61456,61492,61550,61716,61910,62327,62735,63129,63158,63241,63380,63570,63803,64085,64493,64932,65290,65621,65907,66184,66585,66961,67410,67905,68477,69114,69823,70556,71374,72156,73057,74016,75073,76170,77243,78266,79226,80114,80885,81699,82551,83541,84596,85689,86701,87716,88761,90074,91394,92807,94195,95655,97021,98246,99364,100494,101802,103200,104713,105973,107435,108875,110490,112000,113705,115591,117611,119814,122048,124459,126885,129665,132384,135316,138265,141236,144450,147827,151582,155252,158951,162298,165244,167833,170578,172989,175748,178697,181453,183579,184912,185914,186609,186850,187414,187527,187552,187176,186305,184915,183109,181126,179136,177089,174839,172943,170279,167874,164296,160923,156954,153170,149358,145787,142369,138776,134937,130776,126801,122878,119399,115992,112826,109769,106838,104245,101478,98963,96743,95005,93548,92104,90950,89928,89126,88298,87440,86312,85392,84446,83640,82619,81665,80890,80103,79428,78768,78287,77823,77524,77314,77267,77215,77472,77865,78213,78533,78757,79140,79599,80346,81332,82254,83275,84387,85486,86371,87373,88676,90341,91986,93786,95436,96959,98579,100179,101769,103113,104855,106542,108213,109307,110491,111189,112062,112654,113496,114180,114896,115789,116216,116758,116965,117630,118072,118783,119363,120104,120618,121204,121866,122478,123337,123989,124863,125593,126370,127050,127715,128629,129549,130327,130922,131486,132190,132949,133675,134195,134562,135090,135584,135968,136246,136816,137384,138091,138298,138733,138996,139694,140454,141024,141616,141978,142562,142955,143345,143496,144129,144597,145100,144935,144964,145115,145277,145631,145848,145984,146006,146241,146457,146525,146645,147419,148109,148967,149433,149680,149730,150065,150870,151692,152514,153628,154879,156024,157307,158614,160426,162590
394347,9,"Atlanta, GA",Msa,GA,71566,71665,71925,72344,72984,73653,74458,75173,75867,76379,76906,77446,78134,79035,79878,80725,81172,81530,81772,82131,82617,83432,84325,85206,85946,86594,87147,87856,88789,89950,90929,92056,93158,94321,95484,96726,97992,99309,100890,102436,104023,105476,107338,109164,110872,112401,113734,115106,116237,117467,118627,119864,120994,122251,123412,124526,125496,126348,127284,128206,129377,130386,131277,132044,132827,133472,133900,134321,134851,135480,136013,136393,136576,136672,136697,136856,136882,137001,137021,137017,137023,137123,137472,137739,137900,137936,138175,138299,138407,138304,138432,138563,138835,138973,139035,139240,139634,140195,140500,140788,141229,141634,141876,142123,142349,142604,142699,142791,142895,143134,143572,144179,144673,145301,145592,145847,145925,146128,146459,146711,147031,147206,147068,146567,145849,145382,145475,145754,146080,146335,146578,146823,147152,147578,148130,148531,148803,149009,149029,148774,148272,147719,147336,147110,146482,145114,143833,142885,142680,142070,141167,140274,139508,138747,137156,135198,133026,131432,129709,127872,126212,124507,123431,122175,121464,120622,120170,119508,118857,118313,117920,117744,116814,115769,114153,112662,110504,108260,106217,105196,104472,103498,101941,100334,98749,97490,96448,95620,95355,95468,95179,94105,92718,91879,91578,91562,91778,92288,92705,93280,93375,93527,94203,95210,96881,98283,99990,101561,103114,104809,106581,108402,110245,111875,113488,115205,116802,118401,119651,120594,121707,122342,123859,124908,126403,127409,128545,129748,130827,131758,132632,134071,135584,137432,138285,139607,140721,142147,143402,144054,145345,146447,148295,149772,151234,152250,152966,153561,153854,155379,157057,159520,160789,162696,164254,165765,167035,168470,170738,172923,175826,177761,179318,180745,182953,185188,186917,188330,190053,192087,193825,195331,196711,198237,199650,200454,200963,200853,200787,201518,202744,202946,202810,202619,202984,202544,202572,202665,203108,203515,204348,205085,204762,205075,205490,206666,207242,208632,209894,211530,213052,215030,216955,218816,221432,224206
