,date,region_id,region,value,change,lagged_change
610,1996-01-31,394404,"Boston, MA",129319.0,,
611,1996-02-29,394404,"Boston, MA",129318.0,-0.0007732815750172151,
612,1996-03-31,394404,"Boston, MA",129411.0,0.07191574258804678,-0.0007732815750172151
613,1996-04-30,394404,"Boston, MA",129634.0,0.17231920006799406,0.07191574258804678
614,1996-05-31,394404,"Boston, MA",129939.0,0.23527778206333672,0.17231920006799406
615,1996-06-30,394404,"Boston, MA",130380.0,0.33939002147160835,0.23527778206333672
616,1996-07-31,394404,"Boston, MA",130921.0,0.41494094186225183,0.33939002147160835
617,1996-08-31,394404,"Boston, MA",131546.0,0.4773871265877805,0.41494094186225183
618,1996-09-30,394404,"Boston, MA",132047.0,0.38085536618368554,0.4773871265877805
619,1996-10-31,394404,"Boston, MA",132674.0,0.4748309314107857,0.38085536618368554
620,1996-11-30,394404,"Boston, MA",133363.0,0.5193180276467091,0.4748309314107857
621,1996-12-31,394404,"Boston, MA",134115.0,0.5638745379153098,0.5193180276467091
622,1997-01-31,394404,"Boston, MA",134442.0,0.24382060172241093,0.5638745379153098
623,1997-02-28,394404,"Boston, MA",134816.0,0.27818687612501947,0.24382060172241093
624,1997-03-31,394404,"Boston, MA",135262.0,0.33082126750534346,0.27818687612501947
625,1997-04-30,394404,"Boston, MA",136054.0,0.5855303041504722,0.33082126750534346
626,1997-05-31,394404,"Boston, MA",136917.0,0.6343069663516054,0.5855303041504722
627,1997-06-30,394404,"Boston, MA",137705.0,0.5755311612144487,0.6343069663516054
628,1997-07-31,394404,"Boston, MA",138452.0,0.542463962819073,0.5755311612144487
629,1997-08-31,394404,"Boston, MA",139303.0,0.6146534539046122,0.542463962819073
630,1997-09-30,394404,"Boston, MA",140281.0,0.7020667178739837,0.6146534539046122
631,1997-10-31,394404,"Boston, MA",141328.0,0.7463590935336883,0.7020667178739837
632,1997-11-30,394404,"Boston, MA",142245.0,0.6488452394429967,0.7463590935336883
633,1997-12-31,394404,"Boston, MA",143394.0,0.8077612569861836,0.6488452394429967
634,1998-01-31,394404,"Boston, MA",144920.0,1.0642007336429726,0.8077612569861836
635,1998-02-28,394404,"Boston, MA",146653.0,1.1958321832735264,1.0642007336429726
636,1998-03-31,394404,"Boston, MA",148308.0,1.128514247918555,1.1958321832735264
637,1998-04-30,394404,"Boston, MA",149600.0,0.8711600183402002,1.128514247918555
638,1998-05-31,394404,"Boston, MA",150796.0,0.7994652406417169,0.8711600183402002
639,1998-06-30,394404,"Boston, MA",152011.0,0.8057242897689498,0.7994652406417169
640,1998-07-31,394404,"Boston, MA",153208.0,0.787443013992406,0.8057242897689498
641,1998-08-31,394404,"Boston, MA",154405.0,0.7812907942144065,0.787443013992406
642,1998-09-30,394404,"Boston, MA",155940.0,0.9941387908422694,0.7812907942144065
643,1998-10-31,394404,"Boston, MA",157388.0,0.9285622675387906,0.9941387908422694
644,1998-11-30,394404,"Boston, MA",159136.0,1.1106310519226392,0.9285622675387906
645,1998-12-31,394404,"Boston, MA",160398.0,0.7930323748240431,1.1106310519226392
646,1999-01-31,394404,"Boston, MA",162311.0,1.192658262571844,0.7930323748240431
647,1999-02-28,394404,"Boston, MA",164218.0,1.1749049663916766,1.192658262571844
648,1999-03-31,394404,"Boston, MA",166437.0,1.3512526032469108,1.1749049663916766
649,1999-04-30,394404,"Boston, MA",168524.0,1.2539279126636549,1.3512526032469108
650,1999-05-31,394404,"Boston, MA",170513.0,1.1802473238233135,1.2539279126636549
651,1999-06-30,394404,"Boston, MA",172413.0,1.1142845413546265,1.1802473238233135
652,1999-07-31,394404,"Boston, MA",174469.0,1.1924854854332256,1.1142845413546265
653,1999-08-31,394404,"Boston, MA",176071.0,0.9182146971668415,1.1924854854332256
654,1999-09-30,394404,"Boston, MA",177750.0,0.9535925848095372,0.9182146971668415
655,1999-10-31,394404,"Boston, MA",179204.0,0.8180028129395112,0.9535925848095372
656,1999-11-30,394404,"Boston, MA",180822.0,0.9028816321064337,0.8180028129395112
657,1999-12-31,394404,"Boston, MA",182862.0,1.1281813053721335,0.9028816321064337
658,2000-01-31,394404,"Boston, MA",184917.0,1.123798274108334,1.1281813053721335
659,2000-02-29,394404,"Boston, MA",187390.0,1.3373567600599268,1.123798274108334
660,2000-03-31,394404,"Boston, MA",189511.0,1.1318640268957791,1.3373567600599268
661,2000-04-30,394404,"Boston, MA",191652.0,1.1297497242904075,1.1318640268957791
662,2000-05-31,394404,"Boston, MA",193838.0,1.1406090205163588,1.1297497242904075
663,2000-06-30,394404,"Boston, MA",196267.0,1.253108265665137,1.1406090205163588
664,2000-07-31,394404,"Boston, MA",199020.0,1.4026810416422508,1.253108265665137
665,2000-08-31,394404,"Boston, MA",202338.0,1.6671691287307722,1.4026810416422508
666,2000-09-30,394404,"Boston, MA",205569.0,1.596833021973132,1.6671691287307722
667,2000-10-31,394404,"Boston, MA",208844.0,1.593139043338243,1.596833021973132
668,2000-11-30,394404,"Boston, MA",211920.0,1.4728697017869719,1.593139043338243
669,2000-12-31,394404,"Boston, MA",215209.0,1.552000755001881,1.4728697017869719
670,2001-01-31,394404,"Boston, MA",218248.0,1.4121156643077226,1.552000755001881
671,2001-02-28,394404,"Boston, MA",220982.0,1.252703346651507,1.4121156643077226
672,2001-03-31,394404,"Boston, MA",223776.0,1.2643563729172413,1.252703346651507
673,2001-04-30,394404,"Boston, MA",226757.0,1.3321357071357065,1.2643563729172413
674,2001-05-31,394404,"Boston, MA",229915.0,1.3926802700688468,1.3321357071357065
675,2001-06-30,394404,"Boston, MA",232977.0,1.3317965335015058,1.3926802700688468
676,2001-07-31,394404,"Boston, MA",235970.0,1.2846761697506537,1.3317965335015058
677,2001-08-31,394404,"Boston, MA",238871.0,1.2293935669788425,1.2846761697506537
678,2001-09-30,394404,"Boston, MA",241706.0,1.1868330605222077,1.2293935669788425
679,2001-10-31,394404,"Boston, MA",244507.0,1.1588458706031313,1.1868330605222077
680,2001-11-30,394404,"Boston, MA",247190.0,1.0973100974614125,1.1588458706031313
681,2001-12-31,394404,"Boston, MA",249565.0,0.9607993850883956,1.0973100974614125
682,2002-01-31,394404,"Boston, MA",251702.0,0.8562899445034411,0.9607993850883956
683,2002-02-28,394404,"Boston, MA",253912.0,0.8780224233418954,0.8562899445034411
684,2002-03-31,394404,"Boston, MA",256238.0,0.9160654084879871,0.8780224233418954
685,2002-04-30,394404,"Boston, MA",258581.0,0.914384283361569,0.9160654084879871
686,2002-05-31,394404,"Boston, MA",260841.0,0.874000796655583,0.914384283361569
687,2002-06-30,394404,"Boston, MA",263263.0,0.9285350079166976,0.874000796655583
688,2002-07-31,394404,"Boston, MA",265954.0,1.0221717446051937,0.9285350079166976
689,2002-08-31,394404,"Boston, MA",268609.0,0.9982929378764771,1.0221717446051937
690,2002-09-30,394404,"Boston, MA",271291.0,0.9984773406698899,0.9982929378764771
691,2002-10-31,394404,"Boston, MA",274333.0,1.1213051667766427,0.9984773406698899
692,2002-11-30,394404,"Boston, MA",277466.0,1.1420426999303679,1.1213051667766427
693,2002-12-31,394404,"Boston, MA",280491.0,1.0902236670438992,1.1420426999303679
694,2003-01-31,394404,"Boston, MA",283272.0,0.9914756623207177,1.0902236670438992
695,2003-02-28,394404,"Boston, MA",285902.0,0.9284362732638662,0.9914756623207177
696,2003-03-31,394404,"Boston, MA",288482.0,0.9024071185231408,0.9284362732638662
697,2003-04-30,394404,"Boston, MA",291062.0,0.8943365617265497,0.9024071185231408
698,2003-05-31,394404,"Boston, MA",293613.0,0.8764455682981565,0.8943365617265497
699,2003-06-30,394404,"Boston, MA",296056.0,0.8320476273189437,0.8764455682981565
700,2003-07-31,394404,"Boston, MA",297729.0,0.5650957926878641,0.8320476273189437
701,2003-08-31,394404,"Boston, MA",299470.0,0.5847599662780478,0.5650957926878641
702,2003-09-30,394404,"Boston, MA",301017.0,0.5165792900791333,0.5847599662780478
703,2003-10-31,394404,"Boston, MA",302657.0,0.5448197277894584,0.5165792900791333
704,2003-11-30,394404,"Boston, MA",304375.0,0.5676392748226622,0.5448197277894584
705,2003-12-31,394404,"Boston, MA",306402.0,0.6659548254620118,0.5676392748226622
706,2004-01-31,394404,"Boston, MA",308699.0,0.749668735843767,0.6659548254620118
707,2004-02-29,394404,"Boston, MA",310815.0,0.6854573548991105,0.749668735843767
708,2004-03-31,394404,"Boston, MA",312953.0,0.6878689895918777,0.6854573548991105
709,2004-04-30,394404,"Boston, MA",314966.0,0.6432275773039509,0.6878689895918777
710,2004-05-31,394404,"Boston, MA",316975.0,0.6378466247150438,0.6432275773039509
711,2004-06-30,394404,"Boston, MA",319066.0,0.6596734758261613,0.6378466247150438
712,2004-07-31,394404,"Boston, MA",321392.0,0.7290027768549479,0.6596734758261613
713,2004-08-31,394404,"Boston, MA",323851.0,0.7651092746552512,0.7290027768549479
714,2004-09-30,394404,"Boston, MA",326307.0,0.7583734495184569,0.7651092746552512
715,2004-10-31,394404,"Boston, MA",328746.0,0.7474556169496882,0.7583734495184569
716,2004-11-30,394404,"Boston, MA",331048.0,0.7002366568718665,0.7474556169496882
717,2004-12-31,394404,"Boston, MA",333272.0,0.6718059012590372,0.7002366568718665
718,2005-01-31,394404,"Boston, MA",335218.0,0.5839074389687671,0.6718059012590372
719,2005-02-28,394404,"Boston, MA",337779.0,0.7639804545102047,0.5839074389687671
720,2005-03-31,394404,"Boston, MA",340010.0,0.6604910311179824,0.7639804545102047
721,2005-04-30,394404,"Boston, MA",342343.0,0.6861562895208895,0.6604910311179824
